RecordTypeId,Field__c,Field_Label__c,New_Value__c,Object__c,Object_Label__c,Old_Value__c,Record_Id__c,Record_Name__c,Relation__c,User__c,Errors,Id
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofpAAB,Sparkasse Rotenburg Osterholz,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTXQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oe9AAB,Sparkasse Mittelthüringen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTYQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oczAAB,Sparkasse München,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTZQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oe7AAB,Sparkasse Offenburg/Ortenau,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTaQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odwAAB,Sparkasse Regen-Viechtach,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTbQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0od6AAB,Sparkasse Neuburg-Rain,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTcQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oflAAB,Sparkasse Oberland,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTdQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odRAAR,Sparkasse Oder-Spree,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTeQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0o6FAAR,Sparkassen-Finanzportal GmbH,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTfQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W1fxjAAB,Sparkassenverband Westfalen-Lippe (SVWL),Child Object,0052o00000A4d6MAAR,,a029E00000NxlTgQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oJRAAZ,Stadtsparkasse Bad Pyrmont,Child Object,0052o00000A4d6MAAR,,a029E00000NxlThQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oefAAB,Stadtsparkasse Burgdorf,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTiQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofnAAB,Sparkasse Ostprignitz-Ruppin,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTjQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oD1AAJ,Sparkasse Paderborn-Detmold,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTkQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odhAAB,Sparkasse SoestWerl,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTlQAJ
